K10a,K10b,K10c,K11a,K11b,K11c,K12a,K12b,K12c,K13a,K13b,K13c,K14a,K14b,K14c,K15a,K15b,K15c,K16a,K16b ,K16c,K17a,K17c,K18a,K18b,K18c,K19a,K19b,K19d,K20a,K20b,K20c,K21a,K21b,K21c
0,2,0,0,0,3,1,2,2,2,3,3,3,2,0,1,1,1,2,4,4,3,3,2,3,0,3,5,3,2,3,3,2,3,3
1,0,2,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
2,3,2,1,2,2,3,4,5,4,5,4,1,2,2,3,2,4,3,1,2,2,4,0,0,0,0,0,0,0,0,0,1,1,0
2,3,2,4,1,5,9,6,6,5,4,2,4,6,8,5,4,3,1,3,2,8,8,2,1,2,3,2,5,1,2,2,2,2,2
1,0,1,2,1,1,1,1,1,3,1,2,1,1,1,3,2,3,2,3,2,2,2,0,0,0,2,2,3,1,3,2,1,1,2
4,2,2,4,4,3,4,3,2,2,1,1,5,3,4,6,3,2,1,1,1,2,0,0,0,0,4,4,6,4,4,5,4,4,4
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,1,2,0,1,3,0,1,0,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,3,2,1,0,0,0,0,2,2,2,3,2,2,2,2,3
10,11,5,9,10,7,17,16,20,10,12,16,5,4,6,11,20,24,12,14,15,12,12,17,15,13,10,11,9,13,11,11,8,10,9
3,4,1,5,2,1,6,3,3,8,3,1,5,3,2,6,2,1,5,5,3,10,6,5,5,4,8,6,10,7,10,6,8,8,9
5,6,1,3,4,6,3,5,4,7,6,5,5,4,5,4,3,5,1,5,3,3,4,2,2,3,6,5,9,5,4,4,6,6,5
2,3,1,3,2,2,3,2,2,2,1,2,3,2,3,2,2,1,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2
0,1,0,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,3,2,3,4,2,2,3,4,3
55,49,52,67,67,77,46,49,50,44,43,51,72,94,95,64,98,103,50,49,44,50,49,50,61,67,69,77,70,72,69,78,70,74,71
2,2,1,6,7,2,2,2,3,7,8,6,4,3,3,5,2,0,2,5,2,12,10,3,4,1,8,9,8,10,10,9,8,6,8
8,6,10,8,15,13,4,3,4,9,7,7,7,9,10,6,8,7,7,3,4,6,6,0,1,2,7,7,7,5,6,8,7,6,5
1,5,0,5,5,4,2,3,3,2,1,1,3,3,0,3,0,1,0,4,4,5,5,0,1,0,3,2,2,1,2,3,2,3,2
3,0,0,5,1,1,2,2,3,3,2,2,4,3,5,4,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1
2,3,1,4,4,3,0,1,0,4,1,0,4,1,0,2,0,1,1,1,0,2,3,1,3,3,0,2,0,0,1,0,2,1,2
1,3,1,2,1,1,2,2,0,2,1,0,3,0,1,2,0,0,3,2,4,2,2,0,0,0,4,5,7,5,5,4,4,4,6
18,15,13,9,16,14,15,11,12,9,12,16,10,13,13,12,20,25,13,12,12,11,9,6,7,6,14,15,15,13,14,13,15,13,13
5,4,6,1,1,1,6,5,4,6,6,7,2,1,3,6,7,8,6,3,7,2,4,2,2,1,3,3,2,3,3,3,3,3,3
1,1,1,0,0,0,2,2,2,3,1,2,1,1,1,1,2,2,1,1,1,2,2,1,0,0,1,1,0,1,1,1,0,1,1
3,3,1,3,2,1,2,4,1,3,1,0,1,0,1,2,0,1,2,4,4,2,4,0,1,1,3,2,2,2,2,2,3,3,2
6,8,9,8,11,11,12,11,11,3,4,2,9,12,17,12,19,16,1,4,3,0,1,3,2,1,3,3,4,3,1,2,2,1,1
2,0,0,1,0,1,2,1,0,2,1,1,1,2,1,1,1,1,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,2,3,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1
2,2,1,2,1,2,1,3,2,4,3,1,2,3,2,2,2,3,2,6,4,2,5,3,5,2,4,3,5,3,4,4,4,4,4
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,4,0,0,2,0,3,0,2,6,0,0,2,0,1,0,1,1,0,3,0,0,0,1,0,2,1,2,1,0,2,2
8,10,6,11,10,6,5,8,5,9,8,2,9,2,0,6,3,3,6,7,8,8,11,5,4,3,9,7,8,7,8,12,8,10,10
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1,0,1,1,1,1,2,1,2,2,0,0,1,1,1,2,2,3,2,2,1,0,0,0,0,1,2,3,2,2,3,3,3,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,2,0,1,0,2,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,2,2,2,2,1,1,2,2,2
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,1,2,2,1,1,1,2,1,1,0,2,2,1,2,1,0,0,0,2,1,3,2,2,2,1,1,1
1,0,1,2,1,1,4,1,1,5,1,1,1,1,1,2,1,0,1,3,3,4,3,2,1,1,3,1,1,3,0,1,1,2,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
0,0,0,2,6,0,1,0,0,4,1,0,4,0,0,0,0,0,0,2,2,9,6,1,1,0,1,3,3,0,0,1,0,0,0
1,0,0,2,1,1,4,2,0,0,1,1,0,0,1,2,1,0,1,1,1,1,1,0,0,0,2,1,0,2,1,2,2,1,1
0,1,0,2,0,0,1,1,1,3,1,1,1,0,1,3,2,1,2,1,1,1,1,2,1,1,3,2,2,2,1,2,3,2,2
0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,1,2,1,1,2,3,1,2
0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2,3,2,3,1,3,3,3,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,0,1,2,1,1
1,1,1,0,1,1,0,0,0,2,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,1,2,2,3,2,1,0,0,1,0,1,1,2,2,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,2,0,1,0,0,2,0,0,2,1,0,0,0,1,0,1,2,3,4,0,2,2,1,1,2,2,3,0,0,2,0
2,2,3,2,2,1,3,2,3,2,1,1,3,2,0,2,0,0,1,0,1,1,3,0,1,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1,2,3,3,2,0,2,1
0,1,0,4,3,1,1,1,0,1,0,0,3,1,0,0,0,0,0,0,1,2,4,1,0,1,1,2,1,1,1,0,0,1,2
1,2,1,3,2,0,2,2,0,3,2,1,2,1,1,0,1,2,0,0,0,4,2,0,0,0,1,0,1,0,1,1,1,1,1
9,10,6,13,11,15,8,11,6,9,9,8,13,15,12,10,11,10,9,9,7,10,9,8,7,6,9,8,8,7,8,8,6,6,8
0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,2,0,2,2,1,2,2,0,2,2,0,1,1,0,0,0,0,1,0,2,1,1,2,1,0,1,2,1,1,1,1,1,2,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,6,5,4,3,3,4,6,6,1,5,7,4,4,0,0,9,7,9,9,7,3,2,3,8,10,8,7,8,8,8,10,9
3,3,1,2,1,0,2,3,4,2,0,0,2,0,1,2,1,0,0,0,0,2,1,0,0,0,1,1,2,1,1,1,1,1,1
0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,3,2,2,3,0,1,1,2,2,1,1,1,1,2,2,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,2,1,1,1,2,1,1
0,0,0,1,0,0,3,3,4,0,0,0,1,0,0,3,0,1,1,0,1,3,2,0,0,0,1,1,3,2,2,2,1,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,1,0,0,0,2,1,0,1,0,0,0,1,1,0,2,0,0,4,0,1,1,1,1,0,0,0,0,1,0,1
1,0,0,0,0,0,2,1,1,3,3,2,0,0,0,2,0,2,2,2,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0
19,14,21,9,7,3,19,16,19,8,13,12,5,8,7,22,23,13,0,0,1,7,4,4,2,4,1,1,1,1,2,2,1,2,1
2,2,2,0,0,0,2,1,2,4,4,3,1,0,0,3,1,2,1,2,2,0,0,1,0,0,2,2,2,2,2,2,1,2,2
2,2,1,2,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0
0,0,0,0,0,0,6,4,5,9,12,10,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4,6,2,2,2,2,2,2,5,4,5,1,2,2,1,3,2,3,3,3,4,3,5,3,4,2,1,3,3,4,3,3,3,2
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0
1,0,0,1,0,1,2,2,3,3,1,1,0,0,0,3,3,3,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2,2,0,2,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
4,7,2,6,5,3,0,5,1,3,3,0,3,3,0,5,1,0,0,2,2,1,3,0,0,0,3,5,5,3,6,4,5,7,4
1,2,1,2,1,1,1,0,0,10,8,8,3,2,2,2,4,7,3,2,1,2,3,1,1,0,3,4,4,3,3,2,3,3,3
3,2,2,6,2,5,6,5,5,6,5,3,3,2,1,4,2,2,2,7,5,1,3,7,5,6,2,1,2,3,1,1,1,2,2
2,1,3,2,1,4,3,6,5,6,6,6,4,2,4,5,5,5,3,5,5,2,4,3,2,2,4,7,5,6,6,6,7,5,6
2,2,0,1,2,2,1,2,2,8,1,1,1,0,0,2,1,2,0,3,4,3,9,0,0,0,3,6,3,2,4,4,3,2,2
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,2,2,2,7,4,3,11,3,5,7,8,3,3,2,2,8,9,9,13,7,4,3,2,8,7,10,8,7,6,7,6,8
1,2,3,4,3,4,5,3,2,0,0,0,6,5,5,1,1,1,1,1,2,3,2,1,1,0,6,4,6,4,7,5,5,5,5
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,1,1
1,0,0,1,1,0,0,2,0,2,1,0,1,0,0,0,1,0,0,1,1,2,1,0,0,1,2,1,0,1,0,0,1,1,0
3,6,4,6,6,6,3,8,3,7,6,4,5,5,6,6,3,4,3,5,5,2,4,3,2,1,8,9,6,7,7,6,8,9,9
5,10,4,13,11,12,6,7,9,9,7,13,12,14,14,6,4,10,8,9,10,13,15,5,7,8,12,13,6,8,7,11,10,8,7
0,1,0,0,0,1,0,0,0,2,1,2,0,2,1,1,2,2,1,1,1,0,1,0,0,0,2,1,1,1,1,1,1,1,1
10,15,7,15,11,10,10,8,14,22,19,30,16,8,13,11,12,11,12,9,9,15,14,0,0,0,12,10,11,11,12,11,10,11,14
0,2,1,3,2,0,1,1,1,5,1,1,4,0,1,4,1,1,1,4,2,1,3,2,3,3,4,4,4,6,4,4,6,5,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,1
1,1,0,1,1,0,2,3,1,3,2,0,1,0,0,3,1,1,1,7,6,2,8,3,3,2,4,1,7,3,4,2,3,3,4
0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,1
0,0,2,1,2,3,3,1,0,2,0,0,2,2,0,1,0,0,0,2,2,2,3,0,0,0,2,2,2,1,2,1,2,3,3
0,1,0,1,2,0,0,0,0,2,0,0,2,0,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,2,1,2,0
0,0,0,0,0,0,9,10,6,17,22,23,0,0,0,6,3,2,0,0,0,3,4,0,1,1,3,3,4,3,4,4,4,4,2
1,0,2,1,2,0,1,0,4,2,3,3,4,2,6,0,5,3,4,1,1,1,4,1,1,1,0,1,4,1,1,1,2,1,2
1,0,0,2,0,0,2,1,1,1,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,2,1,1,1,2,1,9,1,0,2,0,0,2,1,0,0,2,2,0,3,0,2,1,4,5,4,5,3,3,4,2,2
2,1,0,0,3,0,0,1,1,6,1,1,2,1,2,3,1,2,1,5,2,1,5,0,0,0,1,2,2,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,2,2,3,2,1,0,3,1,0,3,1,0,3,0,0,1,0,1,0,1,2,3,4,2,1,1,0,0,1,0,1,2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
5,5,2,3,3,6,8,11,8,4,9,5,2,3,1,8,9,7,3,4,4,3,3,0,1,1,4,5,6,5,5,5,6,7,4
1,1,0,1,2,1,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,1,1,1,2,0,1,1,0,0,1,0
0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,7,10,7,10,11,7,8,7,9,11,7,7,7,9,7,8,7,5,7,5,8,7,2,4,4,7,6,6,8,7,8,7,6,7
1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,2,2,0,1
0,3,0,0,0,0,0,0,0,6,5,3,0,0,0,0,0,0,0,2,3,0,0,1,1,0,3,2,1,0,1,1,0,1,0
2,2,2,1,0,1,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,1,0,2,2,2,1,0,0,2,1,0,2,0,0,1,0,1,0,1,1,1,3,0,1,1,3,2,0,1,0,2,1,0,0
1,2,1,0,3,1,3,2,5,6,3,6,0,0,2,1,1,1,2,5,1,5,3,0,0,1,1,1,2,2,1,0,4,2,1
0,1,2,2,2,3,5,3,4,0,1,4,2,1,0,3,2,1,2,4,4,3,8,5,6,5,3,5,2,2,4,3,3,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,2,2,2,1,4,2,0,1,1,2,1,1,0,1,3,2,1,0,0,0,0,1,2,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
