Site,Indiv,Origin,Treatment,Thickness
SiteC,N3,SiteN,NO,4.03
SiteC,N3,SiteN,NO,3.13
SiteC,N3,SiteN,NO,3.68
SiteC,N3,SiteN,NO,4.01
SiteC,N3,SiteN,NO,4.3
SiteC,N3,SiteN,NO,3.98
SiteC,N3,SiteN,NO,3.34
SiteC,N4,SiteN,NO,2.22
SiteC,N4,SiteN,NO,2.17
SiteC,N4,SiteN,NO,2.47
SiteC,N4,SiteN,NO,2.32
SiteC,N4,SiteN,NO,2.26
SiteC,N4,SiteN,NO,2.1
SiteC,N4,SiteN,NO,1.96
SiteC,N4,SiteN,NO,2.17
SiteC,N4,SiteN,NO,1.92
SiteC,N4,SiteN,NO,1.78
SiteC,N5,SiteN,NO,2.75
SiteC,N5,SiteN,NO,2.52
SiteC,N5,SiteN,NO,3.69
SiteC,N5,SiteN,NO,3.32
SiteC,N5,SiteN,NO,3.1
SiteC,N5,SiteN,NO,3.47
SiteC,N5,SiteN,NO,3.04
SiteC,N5,SiteN,NO,3.46
SiteC,N5,SiteN,NO,2.96
SiteC,N5,SiteN,NO,2.52
SiteC,C1,SiteC,OO,3.24
SiteC,C1,SiteC,OO,2.84
SiteC,C1,SiteC,OO,2.88
SiteC,C1,SiteC,OO,3.05
SiteC,C1,SiteC,OO,3.43
SiteC,C1,SiteC,OO,3.1
SiteC,C1,SiteC,OO,3.01
SiteC,C1,SiteC,OO,3.33
SiteC,C1,SiteC,OO,3.27
SiteC,C1,SiteC,OO,3.07
SiteC,C2,SiteC,OO,2.19
SiteC,C2,SiteC,OO,2
SiteC,C2,SiteC,OO,1.84
SiteC,C2,SiteC,OO,2.39
SiteC,C2,SiteC,OO,2.05
SiteC,C2,SiteC,OO,1.92
SiteC,C2,SiteC,OO,2.19
SiteC,C2,SiteC,OO,2.08
SiteC,C2,SiteC,OO,2.47
SiteC,C2,SiteC,OO,2.25
SiteC,C3,SiteC,OO,2.45
SiteC,C3,SiteC,OO,2.62
SiteC,C3,SiteC,OO,2.87
SiteC,C3,SiteC,OO,2.52
SiteC,C3,SiteC,OO,2.45
SiteC,C3,SiteC,OO,2.76
SiteC,C3,SiteC,OO,2.49
SiteC,C3,SiteC,OO,2.71
SiteC,C3,SiteC,OO,2.6
SiteC,C3,SiteC,OO,2.5
SiteC,C4,SiteC,OO,3.29
SiteC,C4,SiteC,OO,3.64
SiteC,C4,SiteC,OO,4.5
SiteC,C4,SiteC,OO,4.19
SiteC,C4,SiteC,OO,4.01
SiteC,C4,SiteC,OO,3.69
SiteC,C4,SiteC,OO,3.92
SiteC,C4,SiteC,OO,3.83
SiteC,C4,SiteC,OO,3.59
SiteC,C4,SiteC,OO,3.22
SiteC,C5,SiteC,OO,3.06
SiteC,C5,SiteC,OO,3.42
SiteC,C5,SiteC,OO,3.37
SiteC,C5,SiteC,OO,2.9
SiteC,C5,SiteC,OO,3.28
SiteC,C5,SiteC,OO,3.22
SiteC,C5,SiteC,OO,2.94
SiteC,C5,SiteC,OO,2.87
SiteC,C5,SiteC,OO,3.58
SiteC,C5,SiteC,OO,3.18
